,place_name,bedroom,area,kecamatan,city,final_price,date,final_mortage_monthly
17775,Dijual Dibawah Njop Apartemen Mediterania Lagoon Kemayoran Jakpus ,3.0,97.0,Kemayoran,Jakarta Pusat,1190000000.0,08/05/2023,8000000.0
17792,Apartemen Strategis Di Kelapa Gading Bu,2.0,48.0,Kelapa Gading,Jakarta Utara,805000000.0,08/05/2023,5000000.0
17810,Apartemen The Mansion Kemayoran. Tower Belavista bisa KPA,2.0,64.0,Kemayoran,Jakarta Pusat,1100000000.0,08/05/2023,7000000.0
17829,"Apartemen Hamptons Park, 3br, 95sqm, Furnished ",3.0,95.0,Pondok Indah,Jakarta Selatan,2500000000.0,08/05/2023,17000000.0
17849,"Unit Apartemen DaVinci Di Jendral Sudirman,Jakarta Pusat",4.0,382.0,Bendungan Hilir,Jakarta Pusat,18000000000.0,08/05/2023,128000000.0
17850,"Apartemen Mitra Bahari, Jakarta Utara. 3 Bedroom.",3.0,112.0,Penjaringan,Jakarta Utara,1500000000.0,08/05/2023,10000000.0
17852,(Suz) Full Furnished Apartemen Menteng Park Tower Diamond Lt 33,2.0,60.0,Menteng,Jakarta Pusat,3100000000.0,08/05/2023,22000000.0
17855,Jual apartemen greenbay phase 2,2.0,37.0,Pluit,Jakarta Utara,460000000.0,08/05/2023,3000000.0
17859,Batavia Apartemen Central Jakarta Dijual Semi Furnish 3br Lb.120m,3.0,120.0,Bendungan Hilir,Jakarta Pusat,3200000000.0,08/05/2023,22000000.0
17864,Dijual Apartement Central Par,2.0,75.0,Tanjung Duren,Jakarta Barat,3200000000.0,08/05/2023,22000000.0
17870,"Apartement Mediterania 2, tower H, lt 35",2.0,41.0,Tanjung Duren,Jakarta Barat,950000000.0,08/05/2023,6000000.0
17877,Apartemen Casablanca Mansion Fully Furnished,3.0,62.0,Kuningan,Jakarta Selatan,1600000000.0,27/05/2023,11000000.0
17885,Dijual Apartemen The Mansion Kemayoran 2br Furnished Bisa Kpa,2.0,64.0,Kemayoran,Jakarta Pusat,1100000000.0,08/05/2023,7000000.0
17904,"Kondominium Taman Anggrek, 88m2, Unit Sudut Lebih Luas 2m an, 2+1 Bedrooms",2.0,88.0,Tanjung Duren Selatan,Jakarta Barat,1550000000.0,08/05/2023,11000000.0
17915,Keren Dp 0% Furnished Premium Living At Anwa Bintaro Your Perfect Investment ,1.0,29.0,Pondok Indah,Jakarta Selatan,500000000.0,08/05/2023,3000000.0
17927,"Cepat Unit 2BR Apartemen Menara Latumenten, Jakarta Barat",2.0,42.0,Grogol,Jakarta Barat,350000000.0,08/05/2023,2000000.0
17940,Dijual Apartment Verde 2 BR Kuningan Jakarta ,2.0,170.0,Kuningan,Jakarta Selatan,5000000000.0,29/05/2023,35000000.0
17969,"1park Avenue 2+1br, Dijual Unit Apartemen ",2.0,138.0,Kebayoran Lama,Jakarta Selatan,4200000000.0,08/05/2023,30000000.0
17985,Hot Deal 3br Taman Anggrek Ta Residence Tares Tamres Bagus Homey,3.0,65.0,Taman Anggrek,Jakarta Barat,2400000000.0,08/05/2023,17000000.0
18020,Jual Apartemen Gandaria Heights 1 Bedroom Lantai Tinggi View Timur,1.0,40.0,Gandaria,Jakarta Selatan,1700000000.0,08/05/2023,12000000.0
18039,"Bagus, Full Furnished, Tipe Studio, Siap Pakai di Kemang Mansion Jkt ",1.0,60.0,Kemang,Jakarta Selatan,1700000000.0,08/05/2023,12000000.0
18059,APARTMENT MTH SQUARE,1.0,32.0,Cawang,Jakarta Timur,600000000.0,08/05/2023,4000000.0
18060,Apartemen 2 bedroom siap huni di Bintaro,2.0,80.0,Bintaro,Jakarta Selatan,2600000000.0,08/05/2023,18000000.0
18062,Dijual apartemen Type French Walk Tower Nice Garden di MoI Kelapa Gading Jakarta Utara,3.0,96.0,Kelapa Gading,Jakarta Utara,1450000000.0,08/05/2023,10000000.0
18065,The Regent Residence Brand New Apartment Furnished,4.0,506.0,Gatot Subroto,Jakarta Selatan,43000000000.0,24/05/2023,308000000.0
18069,Dijual Apartemen Wesling Kedoya Besar Luas 142m2 Langka Jarang Ada Jakarta Barat,3.0,142.0,Kebon Jeruk,Jakarta Barat,1800000000.0,08/05/2023,12000000.0
18095,Special Price 2br 50m2 Taman Anggrek Ta Residence Tares Tamres,2.0,50.0,Taman Anggrek,Jakarta Barat,1500000000.0,08/05/2023,10000000.0
18104,Apartement Casa Grande Phase 2 2br Murah Jakarta,2.0,76.0,Cassablanca,Jakarta Selatan,3100000000.0,08/05/2023,22000000.0
18114,"Kondominium Taman Anggrek, 146m2, 3+1 Bedrooms",3.0,146.0,Tanjung Duren Selatan,Jakarta Barat,3500000000.0,08/05/2023,25000000.0
18125,Apartemen Taman Anggrek Residences 2 Kamar Tidur Bagus Furnished,2.0,50.0,Taman Anggrek,Jakarta Barat,1400000000.0,08/05/2023,10000000.0
18137,Apartemen Casa Grande Residence 2 Jakarta Selatan,2.0,88.0,Cassablanca,Jakarta Selatan,3500000000.0,08/05/2023,25000000.0
18150,Apartement Casa Grande Phase 2 2br Jakarta Selatan Murah,2.0,76.0,Cassablanca,Jakarta Selatan,3100000000.0,08/05/2023,22000000.0
18179,"Jual Apartemen Satu 8 Lantai Rendah di Kedoya, Jakarta Barat.",3.0,148.0,Kedoya,Jakarta Barat,2750000000.0,08/05/2023,19000000.0
18195,"Apartemen Puri, Kemayoran, Jakarta Pusat",3.0,84.0,Kemayoran,Jakarta Pusat,900000000.0,08/05/2023,6000000.0
18212,"For Sale Apartemen Taman Anggrek Residence, 3 Bedroom, Furnish",3.0,65.0,Taman Anggrek,Jakarta Barat,2500000000.0,08/05/2023,17000000.0
18269,Dijual Apartemen Windsor Tower 1 Puri Indah Kembangan Selatan Jak Bar,3.0,186.0,Kembangan Selatan,Jakarta Barat,5710000000.0,08/05/2023,40000000.0
18270,Dijual Apartemen Puri Orchard Puri Indah 2br Tower Magnolia ,2.0,70.0,Ring Road,Jakarta Barat,1800000000.0,08/05/2023,12000000.0
18272,Dijual Segera Apartemen Pearl Garden Resort,2.0,122.0,Gatot Subroto,Jakarta Selatan,4000000000.0,08/05/2023,28000000.0
18275,Dijual Apartemen Studio Osaka Riverview ,1.0,14.0,Pantai Indah Kapuk,Jakarta Utara,219000000.0,08/05/2023,1000000.0
18279,Jual Apartemen Thamrin Executive 1 Bedroom Lantai Tinggi Furnished,1.0,42.0,Thamrin,Jakarta Pusat,1350000000.0,08/05/2023,9000000.0
18290,Dijual Apartemen Thamrin Residence 2 Bedroom Lantai Tengah Furnished,2.0,65.0,Tanah Abang,Jakarta Pusat,1800000000.0,08/05/2023,12000000.0
18297,Dijual Apartement Mewah Anandamaya Residence Sudirman Jakpus,3.0,217.0,Sudirman,Jakarta Selatan,18500000000.0,08/05/2023,132000000.0
18305,"Murah Jual Bu , Apartement Green Bay Pluit Jakarta Utara ",2.0,42.0,Pluit,Jakarta Utara,450000000.0,08/05/2023,3000000.0
18314,Jual Apartemen Capital Residence 3br Double Private Jaksel,3.0,170.0,Sudirman,Jakarta Selatan,8199999999.999999,08/05/2023,58000000.0
